scenario,child,parent,metric,best_fit_coeff,boot_median,boot_p2_5,boot_p97_5,ci_width,n_kept,n_total,gof_best_fit,gof_crit,gof_pct_boot_worse,gof_pct_resampled_better
CT-10 & CT-3* to CT-2,CT-2,CT-3,vmax,0.2096160819689863,0.1912367641463183,0.11421048014094608,0.2570679839001978,0.1428575037592517,9999,10000,0.1785584936301541,0.1235059760956175,0.9995,0.9995
CT-11 & CT-3* to CT-2,CT-2,CT-11,vmax,0.8813573277414739,0.8265935510055443,0.7503506984369145,0.9188436636391901,0.16849296520227564,9999,10000,0.1614371864971752,0.1235059760956175,0.9893,0.9966
CT-11 & CT-3* to CT-2,CT-2,CT-3,vmax,0.1186426722585262,0.1734064489944557,0.0811563363608097,0.2496493015630855,0.1684929652022758,9999,10000,0.1614371864971752,0.1235059760956175,0.9893,0.9966
CT-5 & CT-6 to CT-4,CT-4,CT-5,r2kde,0.2620981911392581,0.27502161085539634,0.09066366534729045,0.4572840045593761,0.3666203392120857,9962,10000,0.9979490759468783,0.9868873765119843,0.0761,0.5408999999999999
CT-5 & CT-6 to CT-4,CT-4,CT-6,r2kde,0.7379018088607419,0.7249783891446038,0.542715995440624,0.9093363346527096,0.3666203392120856,9962,10000,0.9979490759468783,0.9868873765119843,0.0761,0.5408999999999999
CT-5 & CT-6 to CT-10,CT-10,CT-5,r2kde,0.6829840972979259,0.6948944201894391,0.475627770883089,0.9128009522970442,0.43717318141395517,9934,10000,0.9754457431594525,0.9829263572702504,0.8457,0.9709
CT-5 & CT-6 to CT-10,CT-10,CT-6,r2kde,0.3170159027020741,0.3051055798105608,0.08719904770295553,0.524372229116911,0.43717318141395545,9934,10000,0.9754457431594525,0.9829263572702504,0.8457,0.9709
CT-5 & CT-6 to CT-11,CT-11,CT-5,r2kde,0.4756233867503695,0.512940838818495,0.3080294516215836,0.7271862403569037,0.4191567887353201,10000,10000,0.9763614603671334,0.9866448162850229,0.9774,0.9942
CT-5 & CT-6 to CT-11,CT-11,CT-6,r2kde,0.5243766132496305,0.487059161181505,0.272813759643096,0.6919705483784161,0.4191567887353201,10000,10000,0.9763614603671334,0.9866448162850229,0.9774,0.9942
CT-5 & CT-6 to CT-8.2,CT-8.2,CT-5,r2kde,0.608728111772282,0.6267932778031273,0.4197278512427549,0.8481694344371792,0.42844158319442427,9990,10000,0.9903346842292337,0.9850923769301488,0.4869,0.8853
CT-5 & CT-6 to CT-8.2,CT-8.2,CT-6,r2kde,0.391271888227718,0.3732067221968727,0.1518305655628207,0.580272148757245,0.42844158319442427,9990,10000,0.9903346842292337,0.9850923769301488,0.4869,0.8853
CT-8.2 & CT-3* to CT-9,CT-9,CT-8.2,r2kde,0.9537655366864568,0.9511590671098292,0.907062990275736,0.9842824166552371,0.07721942637950108,9762,10000,0.971910691137669,0.9753473258231606,0.9246,0.9846
CT-8.2 & CT-3* to CT-9,CT-9,CT-3,r2kde,0.0462344633135432,0.048840932890170795,0.015717583344762923,0.092937009724264,0.07721942637950108,9762,10000,0.971910691137669,0.9753473258231606,0.9246,0.9846
CT-4 & CT-3* to CT-9,CT-9,CT-4,r2kde,0.9435153368378912,0.9409892415123458,0.9000917295247832,0.9734684826847216,0.07337675315993841,9990,10000,0.9462733238381985,0.9756625563191244,0.9971,0.9985
CT-4 & CT-3* to CT-9,CT-9,CT-3,r2kde,0.0564846631621088,0.05901075848765431,0.026531517315278377,0.0999082704752167,0.07337675315993833,9990,10000,0.9462733238381985,0.9756625563191244,0.9971,0.9985
CT-10 & CT-3* to CT-9,CT-9,CT-10,r2kde,0.9449473075528583,0.9439529387041555,0.9020145038500988,0.9761967527316631,0.07418224888156422,9984,10000,0.9641956173263082,0.9753689633062478,0.9728,0.994
CT-10 & CT-3* to CT-9,CT-9,CT-3,r2kde,0.05505269244714175,0.05604706129584448,0.023803247268336915,0.09798549614990117,0.07418224888156424,9984,10000,0.9641956173263082,0.9753689633062478,0.9728,0.994
CT-11 & CT-3* to CT-9,CT-9,CT-11,r2kde,0.9481852153042736,0.9453771430821821,0.9009362885730866,0.9796998518344684,0.07876356326138179,9900,10000,0.9694659101806091,0.9754704924698523,0.9359,0.987
CT-11 & CT-3* to CT-9,CT-9,CT-3,r2kde,0.05181478469572649,0.054622856917817875,0.020300148165531624,0.09906371142691338,0.07876356326138176,9900,10000,0.9694659101806091,0.9754704924698523,0.9359,0.987
CT-8.2 & CT-3* to CT-2,CT-2,CT-8.2,r2kde,0.9532392544295096,0.9528354564389302,0.9102874942057912,0.9838873253313691,0.07359983112557789,9756,10000,0.9230571112033673,0.9768518328381766,1.0,1.0
CT-8.2 & CT-3* to CT-2,CT-2,CT-3,r2kde,0.04676074557049031,0.04716454356106978,0.01611267466863081,0.08971250579420867,0.07359983112557786,9756,10000,0.9230571112033673,0.9768518328381766,1.0,1.0
CT-4 & CT-3* to CT-2,CT-2,CT-4,r2kde,0.9440784966222446,0.944472049696915,0.9055808751100669,0.9741080928333063,0.06852721772323944,9996,10000,0.9407322612409931,0.9771444691159024,0.9999,1.0
