
Similarity
Label,n,CT-1,CT-2,CT-3,CT-4,CT-5,CT-6,CT-7,CT-8.2,CT-9,CT-10,CT-11
CT-1,152,1.0,9.707404328277899e-05,1.6635913364966612e-113,0.3122399354564189,1.677847146962012e-05,0.06895560852234896,2.4341592714139337e-06,0.053794748940137214,1.966483358108094e-07,0.0013863682070791837,0.1333900599753097
CT-2,251,9.707404328277899e-05,1.0,2.5174430502936956e-116,5.596629803618224e-06,1.6324071489262016e-06,9.139818874569863e-07,1.890529965082268e-09,1.9035221598365678e-05,0.0006057483222638106,4.590959799094255e-05,2.7752002714726215e-05
CT-3,267,1.6635913364966612e-113,2.5174430502936956e-116,1.0,5.582496033372087e-164,3.307258451464213e-150,8.461274575570805e-162,6.161113816531325e-135,5.955635563486651e-134,3.052998379632497e-113,3.318650025055021e-128,1.4628489087270204e-131
CT-4,308,0.3122399354564189,5.596629803618224e-06,5.582496033372087e-164,1.0,1.7643516257590978e-07,0.0568413970229097,1.3372191178885645e-07,0.009300968121641662,1.0883480880700056e-07,0.003462175344855727,0.0213299791739196
CT-5,259,1.677847146962012e-05,1.6324071489262016e-06,3.307258451464213e-150,1.7643516257590978e-07,1.0,2.682165373129309e-14,1.4751727616188141e-08,0.020161687803027763,5.018573008570681e-08,0.05659252078121293,0.021095392050485228
CT-6,299,0.06895560852234896,9.139818874569863e-07,8.461274575570805e-162,0.0568413970229097,2.682165373129309e-14,1.0,5.277508796433411e-14,1.2221084240669086e-05,2.316609138056862e-12,1.098025337742774e-06,1.3605337889627296e-05
CT-7,219,2.4341592714139337e-06,1.890529965082268e-09,6.161113816531325e-135,1.3372191178885645e-07,1.4751727616188141e-08,5.277508796433411e-14,1.0,2.582855426321514e-09,3.141379056017675e-15,3.793422340664059e-09,1.901963974293727e-09
CT-8.2,222,0.053794748940137214,1.9035221598365678e-05,5.955635563486651e-134,0.009300968121641662,0.020161687803027763,1.2221084240669086e-05,2.582855426321514e-09,1.0,6.685658687884601e-06,0.6404130470159588,0.456598481775137
CT-9,250,1.966483358108094e-07,0.0006057483222638106,3.052998379632497e-113,1.0883480880700056e-07,5.018573008570681e-08,2.316609138056862e-12,3.141379056017675e-15,6.685658687884601e-06,1.0,3.1252617184896714e-05,1.0820012160371639e-05
CT-10,203,0.0013863682070791837,4.590959799094255e-05,3.318650025055021e-128,0.003462175344855727,0.05659252078121293,1.098025337742774e-06,3.793422340664059e-09,0.6404130470159588,3.1252617184896714e-05,1.0,0.04518773990276239
CT-11,215,0.1333900599753097,2.7752002714726215e-05,1.4628489087270204e-131,0.0213299791739196,0.021095392050485228,1.3605337889627296e-05,1.901963974293727e-09,0.456598481775137,1.0820012160371639e-05,0.04518773990276239,1.0

Kuiper Vmax
Label,n,CT-1,CT-2,CT-3,CT-4,CT-5,CT-6,CT-7,CT-8.2,CT-9,CT-10,CT-11
CT-1,152,0.0,0.2286642902075906,0.9962546816479401,0.11628503075871505,0.3215301767933346,0.12051135363492346,0.48245614035087714,0.15706495969653855,0.2898947368421053,0.18340031112263427,0.13029375764993872
CT-2,251,0.2286642902075906,0.0,0.9212737066714415,0.21277228747348265,0.3645187589410697,0.2288638089781343,0.4276228419654714,0.2416101360324468,0.18584860557768917,0.2786293250642749,0.23958121004354674
CT-3,267,0.9962546816479401,0.9212737066714415,0.0,0.9892626100491269,0.9886483594348763,0.9895657184372377,0.9817351598173516,0.978236663629922,0.9092734082397004,0.9789118281950517,0.9776500304851493
CT-4,308,0.11628503075871505,0.21277228747348265,0.9892626100491269,0.0,0.258950508950509,0.1101181427268384,0.4426406926406926,0.14186264186264194,0.23537662337662335,0.15785938199731292,0.13607671398369067
CT-5,259,0.3215301767933346,0.3645187589410697,0.9886483594348763,0.258950508950509,0.0,0.3282498934672848,0.2704289416618184,0.21750321750321752,0.3196138996138995,0.19105312208760483,0.2105055221334291
CT-6,299,0.12051135363492346,0.2288638089781343,0.9895657184372377,0.1101181427268384,0.3282498934672848,0.0,0.5195094760312151,0.21255536472927775,0.3136321070234114,0.24297741239270473,0.21236680407560082
CT-7,219,0.48245614035087714,0.4276228419654714,0.9817351598173516,0.4426406926406926,0.2704289416618184,0.5195094760312151,0.0,0.4054054054054054,0.44666666666666666,0.40065681444991785,0.3968992248062015
CT-8.2,222,0.15706495969653855,0.2416101360324468,0.978236663629922,0.14186264186264194,0.21750321750321752,0.21255536472927775,0.4054054054054054,0.0,0.23088288288288286,0.0708738294945192,0.07814791535721777
CT-9,250,0.2898947368421053,0.18584860557768917,0.9092734082397004,0.23537662337662335,0.3196138996138995,0.3136321070234114,0.44666666666666666,0.23088288288288286,0.0,0.23966502463054193,0.2374883720930233
CT-10,203,0.18340031112263427,0.2786293250642749,0.9789118281950517,0.15785938199731292,0.19105312208760483,0.24297741239270473,0.40065681444991785,0.0708738294945192,0.23966502463054193,0.0,0.09558941459502801
CT-11,215,0.13029375764993872,0.23958121004354674,0.9776500304851493,0.13607671398369067,0.2105055221334291,0.21236680407560082,0.3968992248062015,0.07814791535721777,0.2374883720930233,0.09558941459502801,0.0

Cross-correlation of kernal density estimation
